filename,page,code,status,confidence,x,y,w,h,padded_x,padded_y,padded_w,padded_h,timestamp,retries,warnings
page3_unknown_178.png,3,,ok,100.0,2965,5336,242,251,2965,5336,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_179.png,3,,ok,100.0,3233,5336,242,251,3233,5336,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_183.png,3,,ok,100.0,4856,5336,242,251,4856,5336,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_187.png,3,,ok,100.0,2433,5337,242,251,2433,5337,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_193.png,3,,ok,100.0,1880,5338,242,251,1880,5338,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_194.png,3,,ok,100.0,2157,5338,242,251,2157,5338,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_209.png,3,,ok,100.0,2427,5639,242,251,2427,5639,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_211.png,3,,ok,100.0,3239,5639,242,251,3239,5639,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_216.png,3,,ok,100.0,1346,5640,242,251,1346,5640,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_217.png,3,,ok,100.0,1616,5640,242,251,1616,5640,242,251,1970-01-01T00:00:00Z,0,[]
page3_unknown_125.png,3,,warning,70.0,5668,4692,242,251,5668,4692,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_126.png,3,,warning,70.0,5943,4692,242,251,5943,4692,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_151.png,3,,warning,70.0,4861,4991,242,251,4861,4991,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_153.png,3,,warning,70.0,5673,4991,242,251,5673,4991,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_157.png,3,,warning,70.0,2427,4992,242,251,2427,4992,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_159.png,3,,warning,70.0,2970,4992,242,251,2970,4992,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_184.png,3,,warning,70.0,5667,5336,242,251,5667,5336,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_191.png,3,,warning,70.0,802,5338,242,251,802,5338,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_200.png,3,,warning,70.0,2969,5637,242,251,2969,5637,242,251,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_202.png,3,,warning,70.0,1882,5638,242,250,1882,5638,242,250,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_107.png,3,,warning,70.0,6209,4390,239,250,6209,4390,239,250,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_203.png,3,,warning,70.0,2157,5638,239,250,2157,5638,239,250,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_135.png,3,,ok,100.0,1346,4695,239,249,1346,4695,239,249,1970-01-01T00:00:00Z,0,[]
page3_unknown_136.png,3,,ok,100.0,1614,4695,239,249,1614,4695,239,249,1970-01-01T00:00:00Z,0,[]
page3_unknown_218.png,3,,ok,100.0,262,5642,239,249,262,5642,239,249,1970-01-01T00:00:00Z,0,[]
page3_unknown_106.png,3,,warning,70.0,5943,4390,239,249,5943,4390,239,249,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_248.png,3,,warning,70.0,4050,6228,239,249,4050,6228,239,249,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_249.png,3,,warning,70.0,4315,6228,239,249,4315,6228,239,249,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_105.png,3,,warning,70.0,5675,4390,238,250,5675,4390,238,250,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_192.png,3,,warning,70.0,1345,5338,238,249,1345,5338,238,249,1970-01-01T00:00:00Z,0,['object_touches_crop_edge']
page3_unknown_121.png,3,,ok,100.0,4592,4393,238,247,4592,4393,238,247,1970-01-01T00:00:00Z,0,[]
